ticker,source,in_sp500_ever
LM,sp500,yes
LMT,sp500,yes
LNC,sp500,yes
LNT,sp500,yes
LO,sp500,yes
LOW,sp500,yes
LRCX,sp500,yes
LULU,sp500,yes
LUMN,sp500,yes
LUV,sp500,yes
LVLT,sp500,yes
LVS,sp500,yes
LW,sp500,yes
LYB,sp500,yes
LYV,sp500,yes
M,sp500,yes
MA,sp500,yes
MAA,sp500,yes
MAC,sp500,yes
MAR,sp500,yes
MARA,seed,no
MAS,sp500,yes
MAT,sp500,yes
MCD,sp500,yes
MCHP,sp500,yes
MCK,sp500,yes
MCO,sp500,yes
MDLZ,sp500,yes
MDT,sp500,yes
MET,sp500,yes
META,sp500,yes
MGM,sp500,yes
MHK,sp500,yes
MJN,sp500,yes
MKC,sp500,yes
MKTX,sp500,yes
MLM,sp500,yes
MMC,sp500,yes
MMM,sp500,yes
MNK,sp500,yes
MNST,sp500,yes
MO,sp500,yes
MOH,sp500,yes
MON,sp500,yes
MOS,sp500,yes
MPC,sp500,yes
MPWR,sp500,yes
MRK,sp500,yes
MRNA,sp500,yes
MRO,sp500,yes
MRSH,sp500,yes
MRVL,seed,no
MS,sp500,yes
MSCI,sp500,yes
MSFT,sp500,yes
MSI,sp500,yes
MSTR,seed,no
MTB,sp500,yes
MTCH,sp500,yes
MTD,sp500,yes
MU,sp500,yes
MUR,sp500,yes
MWV,sp500,yes
MXIM,sp500,yes
MYL,sp500,yes
NAVI,sp500,yes
NBIS,seed,no
NBL,sp500,yes
NCLH,sp500,yes
NDAQ,sp500,yes
NDSN,sp500,yes
NE,sp500,yes
NEE,sp500,yes
NEM,sp500,yes
NET,seed,no
NFLX,sp500,yes
NFX,sp500,yes
NI,sp500,yes
NKE,sp500,yes
NKLA,hand,no
NKTR,sp500,yes
NLOK,sp500,yes
NLSN,sp500,yes
NOC,sp500,yes
NOK,seed,no
NOV,sp500,yes
NOW,sp500,yes
NRG,sp500,yes
NSC,sp500,yes
NTAP,sp500,yes
NTRS,sp500,yes
NU,seed,no
NUE,sp500,yes
NVDA,sp500,yes
NVR,sp500,yes
NWL,sp500,yes
NWS,sp500,yes
NWSA,sp500,yes
NXPI,sp500,yes
O,sp500,yes
ODFL,sp500,yes
OGN,sp500,yes
OI,sp500,yes
OKE,sp500,yes
OMC,sp500,yes
ON,sp500,yes
ORCL,sp500,yes
ORLY,sp500,yes
OTIS,sp500,yes
OXY,sp500,yes
PANW,sp500,yes
PARA,sp500,yes
PAYC,sp500,yes
PAYX,sp500,yes
PBCT,sp500,yes
PBI,sp500,yes
PCAR,sp500,yes
PCG,sp500,yes
PCL,sp500,yes
PCP,sp500,yes
PDCO,sp500,yes
PEAK,sp500,yes
PEG,sp500,yes
PENN,sp500,yes
PEP,sp500,yes
PFE,sp500,yes
PFG,sp500,yes
PG,sp500,yes
PGR,sp500,yes
PH,sp500,yes
PHM,sp500,yes
PKG,sp500,yes
PKI,sp500,yes
PLD,sp500,yes
PLL,sp500,yes
PLTR,sp500,yes
PM,sp500,yes
PNC,sp500,yes
PNR,sp500,yes
PNW,sp500,yes
PODD,sp500,yes
POM,sp500,yes
POOL,sp500,yes
PPG,sp500,yes
PPL,sp500,yes
PRGO,sp500,yes
PRU,sp500,yes
PSA,sp500,yes
PSKY,sp500,yes
PSX,sp500,yes
PTC,sp500,yes
PTON,hand,no
PVH,sp500,yes
PWR,sp500,yes
PX,sp500,yes
PXD,sp500,yes
PYPL,sp500,yes
Q,sp500,yes
QCOM,sp500,yes
QEP,sp500,yes
QRVO,sp500,yes
R,sp500,yes
RAI,sp500,yes
RCL,sp500,yes
RDDT,seed,no
RE,sp500,yes
REG,sp500,yes
REGN,sp500,yes
RF,sp500,yes
RGTI,seed,no
RHI,sp500,yes
RHT,sp500,yes
RIDE,hand,no
RIG,sp500,yes
RIVN,seed,no
RJF,sp500,yes
RKLB,seed,no
RL,sp500,yes
RMD,sp500,yes
ROK,sp500,yes
ROL,sp500,yes
ROP,sp500,yes
ROST,sp500,yes
RRC,sp500,yes
RSG,sp500,yes
RTN,sp500,yes
RTX,sp500,yes
RVTY,sp500,yes
SATS,sp500,yes
SBAC,sp500,yes
SBNY,sp500,yes
SBUX,sp500,yes
SCG,sp500,yes
SCHW,sp500,yes
SE,sp500,yes
SEDG,sp500,yes
SEE,sp500,yes
SHOP,seed,no
SHW,sp500,yes
SIAL,sp500,yes
SIG,sp500,yes
SIVB,sp500,yes
SJM,sp500,yes
SLB,sp500,yes
SLG,sp500,yes
SMCI,sp500,yes
SMR,seed,no
SNA,sp500,yes
SNAP,seed,no
SNDK,sp500,yes
SNI,sp500,yes
SNOW,seed,no
SNPS,sp500,yes
SO,sp500,yes
SOC,seed,no
SOFI,seed,no
SOLS,sp500,yes
SOLV,sp500,yes
SPCX,seed,no
SPG,sp500,yes
SPGI,sp500,yes
SPLS,sp500,yes
SPOT,seed,no
SPY,etf,no
SRCL,sp500,yes
SRE,sp500,yes
STE,sp500,yes
STI,sp500,yes
STJ,sp500,yes
STLD,sp500,yes
STT,sp500,yes
STX,sp500,yes
STZ,sp500,yes
SW,sp500,yes
SWK,sp500,yes
SWKS,sp500,yes
SWN,sp500,yes
SYF,sp500,yes
SYK,sp500,yes
SYMC,sp500,yes
SYY,sp500,yes
T,sp500,yes
TAP,sp500,yes
TDC,sp500,yes
TDG,sp500,yes
TDY,sp500,yes
TE,sp500,yes
TECH,sp500,yes
TEG,sp500,yes
TEL,sp500,yes
TER,sp500,yes
TFC,sp500,yes
TFX,sp500,yes
TGNA,sp500,yes
TGT,sp500,yes
THC,sp500,yes
TIF,sp500,yes
